Date,MaxTmp,MinTmp,AvgTmp,Depart,HDD,CDD,Precip,NewSnow,SnowDep
5/1/18,83,55,69,15.9,0,4,0,0,0
5/2/18,84,64,74,20.5,0,9,0.03,0,0
5/3/18,72,59,65.5,11.7,0,1,0.57,0,0
5/4/18,72,55,63.5,9.3,1,0,0.12,0,0
5/5/18,80,56,68,13.4,0,3,0,0,0
5/6/18,66,44,55,0,10,0,T,0,0
5/7/18,69,39,54,-1.3,11,0,0,0,0
5/8/18,81,50,65.5,9.8,0,1,0,0,0
5/9/18,79,53,66,10,0,1,0.58,0,0
5/10/18,67,50,58.5,2.1,6,0,T,0,0
5/11/18,50,40,45,-11.8,20,0,0.6,0,0
5/12/18,55,40,47.5,-9.6,17,0,0.39,0,0
5/13/18,64,47,55.5,-2,9,0,0.33,0,0
5/14/18,77,51,64,6.2,1,0,0.02,0,0
5/15/18,75,55,65,6.8,0,0,0.52,0,0
5/16/18,79,51,65,6.5,0,0,0,0,0
5/17/18,73,50,61.5,2.6,3,0,0,0,0
5/18/18,76,45,60.5,1.3,4,0,T,0,0
5/19/18,70,57,63.5,4,1,0,0.5,0,0
5/20/18,60,49,54.5,-5.4,10,0,T,0,0
5/21/18,64,46,55,-5.2,10,0,0.41,0,0
5/22/18,63,51,57,-3.6,8,0,T,0,0
5/23/18,80,49,64.5,3.6,0,0,0,0,0
5/24/18,82,51,66.5,5.3,0,2,0,0,0
5/25/18,88,58,73,11.4,0,8,0,0,0
5/26/18,86,69,77.5,15.6,0,13,0,0,0
5/27/18,92,61,76.5,14.2,0,12,0,0,0
5/28/18,93,63,78,15.4,0,13,0,0,0
5/29/18,91,68,79.5,16.6,0,15,0,0,0
5/30/18,87,70,78.5,15.2,0,14,0.89,0,0
5/31/18,87,70,78.5,14.9,0,14,0.01,0,0
5/1/19,63,44,53.5,0.4,11,0,0.58,0,0
5/2/19,57,43,50,-3.5,15,0,0.09,0,0
5/3/19,51,43,47,-6.8,18,0,0.02,0,0
5/4/19,64,44,54,-0.2,11,0,T,0,0
5/5/19,71,43,57,2.4,8,0,0,0,0
5/6/19,72,48,60,5,5,0,0.04,0,0
5/7/19,56,40,48,-7.3,17,0,0.28,0,0
5/8/19,58,36,47,-8.7,18,0,T,0,0
5/9/19,74,50,62,6,3,0,0.28,0,0
5/10/19,57,41,49,-7.4,16,0,T,0,0
5/11/19,52,36,44,-12.8,21,0,0.02,0,0
5/12/19,53,40,46.5,-10.6,18,0,0.01,0,0
